Sitename,Site,Country,Latitude,Longitude,Elevation.m.
BE-Bra,Brasschaat,Belgium,51.30761,4.51984,16.0
CH-Dav,Davos,Switzerland,46.81533,9.85591,1689.0
CZ-BK1,Bily Kriz forest,Czechia,49.50207615,18.53688247,875.0
DE-Tha,Tharandt,Germany,50.96256,13.56515,380.0
FI-Hyy,Hyytiala,Finland,61.84741,24.29477,181.0
FR-Bil,Bilos,France,44.493672,-0.956082,39.18
IT-Ren,Renon, Italy,46.5869,11.4337,1794.0
IT-SR2,San Rossore 2,Italy,43.732022,10.29091,4.0
SE-Htm,Hyltemossa,Sweden,56.09763,13.41897,115.0
SE-Nor,Norunda,Sweden,60.08649722,17.47950278,45.0
SE-Svb,Svartberget,Sweden,64.25611,19.7745,267.0
